Date,NASDAQ,AMZN,GOOG,MSFT
2007-01-31,2463.929932,37.669998,249.12965400000002,30.860001
2007-02-28,2416.149902,39.139998999999996,223.272827,28.17
2007-03-30,2421.639893,39.790001000000004,227.599686,27.870001000000002
2007-04-30,2525.090088,61.330002,234.166977,29.940001000000002
2007-05-31,2604.52002,69.139999,247.346252,30.690001000000002
2007-06-29,2603.22998,68.410004,259.661163,29.469998999999998
2007-07-31,2546.27002,78.540001,253.35218799999998,28.99
2007-08-31,2596.360107,79.910004,255.96022000000002,28.73
2007-09-28,2701.5,93.150002,281.80215499999997,29.459999
2007-10-31,2859.1201170000004,89.150002,351.215668,36.810001
2007-11-30,2660.959961,90.559998,344.260925,33.599998
2007-12-31,2652.280029,92.639999,343.505829,35.599998
2008-01-31,2389.860107,77.699997,280.326752,32.599998
2008-02-29,2271.47998,64.470001,234.06761200000003,27.200001
2008-03-31,2279.100098,71.300003,218.811844,28.379998999999998
2008-04-30,2412.800049,78.629997,285.28945899999997,28.52
2008-05-30,2522.659912,81.620003,291.00726299999997,28.32
2008-06-30,2292.97998,73.33000200000001,261.509125,27.51
2008-07-31,2325.550049,76.339996,235.344315,25.719998999999998
2008-08-29,2367.52002,80.809998,230.148102,27.290001
2008-09-30,2091.8798829999996,72.760002,198.965912,26.690001000000002
2008-10-31,1720.949951,57.240002000000004,178.51890600000002,22.33
2008-11-28,1535.569946,42.700001,145.533447,20.219998999999998
2008-12-31,1577.030029,51.279999,152.83097800000002,19.440001000000002
2009-01-30,1476.420044,58.82,168.17120400000002,17.1
2009-02-27,1377.839966,64.790001,167.902954,16.15
2009-03-31,1528.589966,73.440002,172.90541100000002,18.370001000000002
2009-04-30,1717.300049,80.519997,196.705612,20.26
2009-05-29,1774.3299559999998,77.989998,207.266922,20.889999
2009-06-30,1835.040039,83.660004,209.43284599999998,23.77
2009-07-31,1978.5,85.760002,220.09350600000002,23.52
2009-08-31,2009.060059,81.190002,229.343338,24.65
2009-09-30,2122.419922,93.360001,246.32290600000002,25.719998999999998
2009-10-30,2045.109985,118.809998,266.327789,27.73
2009-11-30,2144.600098,135.91000400000001,289.616333,29.41
2009-12-31,2269.149902,134.520004,307.986847,30.48
2010-01-29,2147.350098,125.410004,263.257751,28.18
2010-02-26,2238.26001,118.400002,261.697906,28.67
2010-03-31,2397.959961,135.770004,281.72763100000003,29.290001
2010-04-30,2461.189941,137.100006,261.151459,30.540001
2010-05-28,2257.040039,125.459999,241.24592599999997,25.799999
2010-06-30,2109.23999,109.260002,221.03736899999998,23.01
2010-07-30,2254.699951,117.889999,240.858444,25.809998999999998
2010-08-31,2114.030029,124.83000200000001,223.555984,23.469998999999998
2010-09-30,2368.6201170000004,157.059998,261.196167,24.49
2010-10-29,2507.409912,165.229996,304.867126,26.67
2010-11-30,2498.22998,175.399994,276.059509,25.26
2010-12-31,2652.8701170000004,180.0,295.06588700000003,27.91
2011-01-31,2700.080078,169.639999,298.240234,27.73
2011-02-28,2782.27002,173.28999299999998,304.71810899999997,26.58
2011-03-31,2781.070068,180.130005,291.484161,25.389999
2011-04-29,2873.540039,195.809998,270.292023,25.92
2011-05-31,2835.300049,196.690002,262.80072,25.01
2011-06-30,2773.52002,204.490005,251.553879,26.0
2011-07-29,2756.3798829999996,222.520004,299.89447,27.4
2011-08-31,2579.459961,215.229996,268.732147,26.6
2011-09-30,2415.399902,216.229996,255.855911,24.889999
2011-10-31,2684.409912,213.50999500000003,294.40518199999997,26.629998999999998
2011-11-30,2620.340088,192.28999299999998,297.75836200000003,25.58
2011-12-30,2605.149902,173.100006,320.863098,25.959999
2012-01-31,2813.840088,194.440002,288.18066400000004,29.530001000000002
2012-02-29,2966.889893,179.690002,307.12744100000003,31.74
2012-03-30,3091.570068,202.509995,318.548157,32.259997999999996
2012-04-30,3046.360107,231.899994,300.470734,32.02
2012-05-31,2827.340088,212.91000400000001,288.553253,29.190001000000002
2012-06-29,2935.050049,228.350006,288.160797,30.59
2012-07-31,2939.52002,233.30000299999998,314.43987999999996,29.469998999999998
2012-08-31,3066.959961,248.270004,340.331482,30.82
2012-09-28,3116.22998,254.32000699999998,374.81219500000003,29.76
2012-10-31,2977.22998,232.88999900000002,337.951935,28.540001
2012-11-30,3010.23999,252.05000299999998,346.928558,26.620001000000002
2012-12-31,3019.51001,250.86999500000002,351.404449,26.709999
2013-01-31,3142.1298829999996,265.5,375.403351,27.450001
2013-02-28,3160.189941,264.269989,398.011322,27.799999
2013-03-28,3267.52002,266.48999,394.528961,28.610001
